Context,GeneralAttribute,Label,Objects
press_haptics,height,Medium,"wooden_knife_stand,silver_cappuccino_maker,christmas_red_container,wooden_pepper_grinder"
press_haptics,height,Small,"scotch_tape_box,excetrine_medicine_box,regular_creamcheese_box,yellow_squish_ball,tiny_metallic_can,dark_blue_sunfounder_box,wooden_cylindrical_container"
press_haptics,height,Short,"stainless_steel_cannister,wooden_melon_tea_box"
press_haptics,height,Long,"red_tall_cup,red_bull_pop_can,yellow_water_bottle,green_water_bottle,lysol_container,red_water_bottle,tennis_container_split_peas,mac_and_cheese_box,dark_green_sports_bottle,red_ketchup_bottle,yellow_mustard_bottle,green_tall_cup,blue_salt_can,tin_can"
