2,20.0
3,36.6667
4,40.0
5,40.0
6,40.0
7,43.3333
8,40.0
9,33.3333
10,30.0
11,50.0
12,43.3333
13,36.6667
14,33.3333
15,36.6667
16,46.6667
17,53.3333
18,56.6667
19,63.3333
20,66.6667
21,60.0
22,63.3333
23,53.3333
24,66.6667
25,66.6667
26,56.6667
27,46.6667
2,80.0
3,80.0
4,80.0
5,60.0
6,60.0
7,53.3333
8,76.6667
9,76.6667
10,73.3333
11,73.3333
12,76.6667
13,76.6667
14,76.6667
15,76.6667
16,80.0
17,73.3333
18,80.0
19,76.6667
20,76.6667
21,80.0
22,76.6667
23,90.0
24,90.0
25,86.6667
26,86.6667
27,83.3333
2,60.0
3,60.0
4,60.0
5,60.0
6,73.3333
7,70.0
8,43.3333
9,60.0
10,70.0
11,60.0
12,73.3333
13,66.6667
14,70.0
15,70.0
16,70.0
17,53.3333
18,70.0
19,73.3333
20,66.6667
21,63.3333
22,63.3333
23,46.6667
24,66.6667
25,56.6667
26,63.3333
27,63.3333
2,80.0
3,80.0
4,73.3333
5,76.6667
6,53.3333
7,43.3333
8,70.0
9,90.0
10,90.0
11,80.0
12,86.6667
13,80.0
14,83.3333
15,80.0
16,80.0
17,80.0
18,80.0
19,83.3333
20,86.6667
21,80.0
22,83.3333
23,86.6667
24,80.0
25,83.3333
26,83.3333
27,83.3333
2,80.0
3,83.3333
4,83.3333
5,83.3333
6,73.3333
7,73.3333
8,73.3333
9,73.3333
10,73.3333
11,86.6667
12,73.3333
13,60.0
14,53.3333
15,70.0
16,60.0
17,63.3333
18,56.6667
19,60.0
20,76.6667
21,80.0
22,76.6667
23,76.6667
24,83.3333
25,80.0
26,80.0
27,86.6667
2,70.0
3,63.3333
4,63.3333
5,73.3333
6,83.3333
7,80.0
8,80.0
9,83.3333
10,83.3333
11,70.0
12,83.3333
13,76.6667
14,86.6667
15,86.6667
16,83.3333
17,83.3333
18,83.3333
19,80.0
20,83.3333
21,83.3333
22,86.6667
23,80.0
24,80.0
25,80.0
26,83.3333
27,86.6667
2,100.0
3,50.0
4,80.0
5,96.6667
6,96.6667
7,96.6667
8,90.0
9,86.6667
10,86.6667
11,100.0
12,96.6667
13,100.0
14,100.0
15,96.6667
16,96.6667
17,100.0
18,100.0
19,96.6667
20,93.3333
21,100.0
22,100.0
23,96.6667
24,100.0
25,96.6667
26,100.0
27,96.6667
2,40.0
3,40.0
4,40.0
5,40.0
6,40.0
7,40.0
8,40.0
9,40.0
10,40.0
11,40.0
12,50.0
13,43.3333
14,43.3333
15,36.6667
16,40.0
17,53.3333
18,53.3333
19,46.6667
20,46.6667
21,46.6667
22,60.0
23,63.3333
24,56.6667
25,56.6667
26,50.0
27,56.6667
2,96.6667
3,80.0
4,80.0
5,90.0
6,80.0
7,83.3333
8,83.3333
9,63.3333
10,80.0
11,90.0
12,86.6667
13,83.3333
14,83.3333
15,86.6667
16,86.6667
17,86.6667
18,83.3333
19,90.0
20,90.0
21,83.3333
22,80.0
23,83.3333
24,90.0
25,83.3333
26,86.6667
27,86.6667
2,80.0
3,80.0
4,80.0
5,80.0
6,76.6667
7,76.6667
8,76.6667
9,73.3333
10,80.0
11,73.3333
12,70.0
13,73.3333
14,70.0
15,80.0
16,73.3333
17,73.3333
18,70.0
19,66.6667
20,76.6667
21,83.3333
22,83.3333
