Context,GeneralAttribute,Label,Objects
drop_haptics,weight,slightly heavy,"mac_and_cheese_box,red_tall_cup,wooden_pepper_grinder,blue_tall_cup,christmas_red_container"
drop_haptics,weight,light,"lysol_container,stainless_steel_cannister,pale_yellow_cup,green_tall_cup,yellow_squish_ball,red_bull_pop_can,dark_blue_sunfounder_box,regular_creamcheese_box,excetrine_medicine_box,starbucks_doubleshot_hazelnut,scotch_tape_box"
drop_haptics,weight,heavy,"yellow_mustard_bottle,silver_cappuccino_maker,yellow_water_bottle,red_ketchup_bottle,dark_green_sports_bottle,tennis_container_split_peas,tin_can,wooden_knife_stand,wooden_cylindrical_container,tiny_metallic_can,red_water_bottle"
