5,2,3,48.11594202898551,11.318443291457575,0.1667
6,3,4,46.52173913043478,15.650160901149983,0.2442
8,4,5,42.02898550724638,15.690797999251538,0.0957
11,5,7,53.333333333333336,11.370704872299253,0.3571
12,6,8,52.89855072463769,14.117270311092394,0.3421
13,7,10,48.695652173913054,15.72295273997273,0.4595
15,8,11,50.14492753623189,14.159205196176766,0.4737
17,9,12,48.550724637681164,15.302541115858737,0.4872
19,10,13,47.2463768115942,14.552315026807168,0.375
20,11,14,46.95652173913044,13.703683921060957,0.3333
21,13,16,47.10144927536231,16.090160988393237,0.2568
23,14,17,45.79710144927536,11.730018096739952,0.4118
24,15,18,45.94202898550724,14.562873847080859,0.4375
25,16,19,44.63768115942028,12.582621109074575,0.2763
26,18,21,45.65217391304348,13.869331861030995,0.5122
27,19,22,47.536231884057955,11.900996957828863,0.5732
4,2,2,37.10144927536233,15.93244411827343,0.4037
5,3,3,36.811594202898554,15.93795612124694,0.2478
9,4,4,42.31884057971015,14.579450828938324,0.4444
11,5,6,28.115942028985504,10.81647111727434,0.0909
13,6,7,38.26086956521739,12.865644692393015,0.4231
14,7,8,38.98550724637681,11.211230958496182,0.4059
16,8,10,44.05797101449276,19.897629972546323,0.604
17,9,12,37.97101449275362,16.74946495255148,0.434
18,10,13,48.550724637681164,18.82471207760072,0.7959
19,11,14,46.3768115942029,18.171824218624458,0.7475
21,12,15,43.47826086956522,15.650160901149995,0.6392
22,13,16,43.913043478260875,15.493634206417363,0.6939
23,15,18,48.98550724637681,18.297065576087657,0.7423
24,16,19,46.95652173913042,18.392824783414746,0.6
26,17,20,46.811594202898554,15.158364723160897,0.6939
27,19,22,45.50724637681159,15.361262299910145,0.6939
6,2,2,57.68115942028986,11.211230958496124,0.2073
9,3,3,40.14492753623189,16.498492764631873,0.1176
11,4,4,39.565217391304344,16.94627123927976,0.1584
12,5,6,35.79710144927537,18.862002617210727,0.1176
14,6,7,38.405797101449274,19.276551024794507,0.3299
15,7,10,37.68115942028986,18.921282512767874,0.35
17,8,11,33.768115942028984,18.430989160663408,0.3269
18,9,12,32.17391304347826,18.79202215351922,0.4022
20,10,13,41.739130434782616,12.587855507599096,0.4253
21,11,14,38.84057971014492,13.984432024311923,0.3229
22,13,16,38.69565217391304,10.528418993361756,0.35
25,14,17,47.391304347826086,10.442556758557155,0.4521
26,16,19,45.36231884057972,13.016661057492378,0.5395
27,17,20,47.82608695652175,10.570049914934902,0.75
3,2,3,14.492753623188408,7.078827133646815,0.0244
5,3,4,16.956521739130434,4.810871892066933,0.0244
7,4,5,29.565217391304348,11.989235400178611,0.0417
11,5,6,50.72463768115942,15.37269393855268,0.5833
12,6,7,48.84057971014492,14.481220707661858,0.625
13,7,8,46.811594202898554,15.291057030852146,0.6154
16,8,9,38.69565217391305,15.819024808556296,0.4388
20,9,10,48.840579710144915,16.37960963423349,0.5679
22,10,11,46.81159420289855,15.487964074770426,0.5513
23,12,13,47.68115942028985,16.435818934546244,0.593
24,13,14,45.21739130434783,15.236389420802611,0.4944
25,14,15,43.333333333333336,15.406937962286252,0.5455
26,16,17,46.23188405797101,14.081449500188212,0.6429
27,17,18,45.362318840579704,14.796229742085949,0.4444
6,2,2,41.594202898550726,11.409262815684679,0.0
7,3,3,41.44927536231884,14.765031271248,0.0769
9,4,4,39.71014492753623,15.760615902127851,0.3902
10,5,5,37.971014492753625,16.74946495255147,0.382
11,6,6,32.46376811594203,15.381262091900815,0.2
14,7,7,27.681159420289852,11.867738401071124,0.1228
19,8,8,39.130434782608695,10.503361237104981,0.0909
21,9,9,36.3768115942029,14.733766738389516,-0.0127
23,11,11,35.94202898550724,14.905646741654667,0.0141
24,12,12,35.65217391304348,12.285936059465241,0.0667
25,13,13,36.23188405797101,10.555497769298427,0.1026
27,15,15,42.89855072463767,10.93157542344524,0.1667
6,4,4,23.6231884057971,6.506643339987123,0.0
7,5,5,23.91304347826087,5.830273995419084,0.0
