2,1,1
3,2,2
4,3,5
5,4,7
6,5,8
7,6,9
9,7,10
13,8,11
14,9,12
16,10,13
17,11,14
18,12,15
19,13,16
20,14,17
22,16,19
23,17,20
24,18,21
25,19,22
26,21,24
27,22,25
2,1,1
3,2,2
5,3,3
6,4,4
7,5,5
8,6,6
9,7,9
10,8,11
11,9,12
12,10,13
13,11,14
15,12,15
16,13,16
20,14,17
21,16,19
22,17,20
23,18,21
24,19,22
25,21,24
26,22,25
27,23,26
2,1,1
3,2,2
4,3,3
5,4,4
7,5,5
9,6,6
10,7,7
11,8,8
12,9,9
13,10,12
14,11,14
15,12,15
16,13,16
20,14,17
21,16,19
22,17,20
23,18,21
24,19,22
25,21,24
26,22,25
27,24,27
2,1,1
3,2,2
5,3,3
6,4,4
7,5,5
8,6,6
10,7,7
11,8,8
15,9,9
16,10,10
17,11,13
18,12,15
19,13,16
20,14,17
21,16,19
22,17,20
23,18,21
25,19,22
26,21,24
27,22,25
2,1,1
4,2,2
5,3,3
9,4,4
10,5,5
12,6,6
13,7,7
14,8,8
15,9,9
16,10,12
17,11,14
18,12,15
19,13,16
20,14,17
22,16,19
23,17,20
24,18,21
25,19,22
26,21,24
27,22,25
2,1,1
3,2,2
4,3,5
5,4,7
6,5,8
7,6,9
9,7,10
10,8,11
11,9,12
12,10,13
13,11,14
17,12,15
19,13,16
20,14,17
22,16,19
23,17,20
24,18,21
25,19,22
26,21,24
27,22,25
2,1,1
6,2,2
7,3,5
8,4,7
9,5,8
10,6,9
11,7,10
12,8,11
13,9,12
14,10,13
15,11,14
17,12,15
18,13,16
20,14,17
22,16,19
23,17,20
24,18,21
25,19,22
26,21,24
27,22,25
2,1,1
3,2,2
4,3,3
5,4,4
9,5,5
11,6,6
12,7,7
13,8,8
14,9,11
15,10,13
16,11,14
17,12,15
18,13,16
20,14,17
21,16,19
22,17,20
23,18,21
24,19,22
25,21,24
26,22,25
27,23,26
2,1,1
3,2,2
4,3,3
6,4,4
7,5,5
9,6,6
10,7,7
11,8,8
12,9,11
13,10,13
14,11,14
15,12,15
16,13,16
20,14,17
22,16,19
23,17,20
24,18,21
26,19,22
27,21,24
2,1,1
3,2,2
4,3,3
8,4,4
9,5,5
10,6,8
11,7,10
12,8,11
13,9,12
14,10,13
15,11,14
17,12,15
18,13,16
20,14,17
21,16,19
23,17,20
24,18,21
25,19,22
26,21,24
27,22,25
1,1,1
3,2,2
4,3,4
5,4,7
6,5,8
7,6,9
8,7,10
9,8,11
11,9,12
12,10,13
13,11,14
16,12,15
17,13,16
19,14,17
20,16,19
21,17,20
22,18,21
24,19,22
25,21,24
26,22,25
27,23,26
2,1,1
3,2,3
4,3,6
5,4,7
6,5,8
7,6,9
8,7,10
9,8,11
10,9,12
11,10,13
13,11,14
16,12,15
17,13,16
19,14,17
20,16,19
21,17,20
22,18,21
24,19,22
25,21,24
26,22,25
27,23,26
1,1,1
3,2,2
4,3,3
5,4,4
6,5,5
7,6,7
8,7,10
9,8,11
10,9,12
11,10,13
12,11,14
15,12,15
17,13,16
19,14,17
20,16,19
21,17,20
23,18,21
24,19,22
25,21,24
26,22,25
27,24,27
1,1,2
2,2,5
3,3,6
4,4,7
5,5,8
8,6,9
10,7,10
11,8,11
12,9,12
13,10,13
14,11,14
16,12,15
17,13,16
19,14,17
22,16,19
23,17,20
24,18,21
26,19,22
27,21,24
1,1,1
2,2,2
3,3,3
6,4,4
7,5,6
8,6,9
9,7,10
10,8,11
11,9,12
13,10,13
15,11,14
16,12,15
17,13,16
19,14,17
21,16,19
22,17,20
23,18,21
24,19,22
25,21,24
27,22,25
1,1,2
2,2,5
3,3,6
4,4,7
6,5,8
7,6,9
9,7,10
12,8,11
13,9,12
14,10,13
15,11,14
16,12,15
17,13,16
19,14,17
20,16,19
21,17,20
22,18,21
24,19,22
25,21,24
26,22,25
27,23,26
3,1,1
4,2,2
6,3,3
7,4,4
8,5,5
9,6,6
10,7,8
11,8,11
12,9,12
13,10,13
14,11,14
15,12,15
17,13,16
19,14,17
20,16,19
21,17,20
22,18,21
24,19,22
25,21,24
26,22,25
27,24,27
1,1,1
4,2,2
5,3,3
6,4,4
7,5,6
8,6,9
9,7,10
10,8,11
11,9,12
13,10,13
14,11,14
16,12,15
17,13,16
19,14,17
21,16,19
23,17,20
24,18,21
26,19,22
27,21,24
3,1,1
4,2,2
5,3,3
7,4,4
8,5,5
9,6,6
10,7,8
11,8,11
12,9,12
13,10,13
15,11,14
16,12,15
17,13,16
19,14,17
20,16,19
22,17,20
23,18,21
24,19,22
25,21,24
26,22,25
27,24,27
1,1,2
2,2,5
3,3,6
4,4,7
5,5,8
7,6,9
8,7,10
9,8,11
10,9,12
11,10,13
14,11,14
16,12,15
17,13,16
19,14,17
20,16,19
21,17,20
23,18,21
25,19,22
26,21,24
27,22,25
2,1,1
3,2,2
4,3,3
5,4,4
7,5,5
9,6,6
11,7,7
12,8,8
13,9,10
14,10,12
15,11,13
16,12,14
17,13,16
18,14,17
19,16,19
20,17,20
22,18,21
23,19,22
24,20,23
25,22,25
26,23,26
27,24,27
2,1,1
3,2,2
4,3,3
5,4,4
7,5,5
8,6,6
10,7,7
11,8,9
12,9,10
13,10,11
15,11,12
16,12,14
17,13,16
18,14,17
19,16,19
20,17,20
21,18,21
22,19,22
24,20,23
25,22,25
26,23,26
27,24,27
2,1,1
4,2,2
5,3,4
6,4,5
7,5,6
8,6,7
9,7,9
10,8,11
11,9,12
13,10,13
14,11,14
16,12,15
17,13,16
18,14,17
19,16,19
20,17,20
21,18,21
23,19,22
24,20,23
25,22,25
26,23,26
27,24,27
2,1,1
3,2,3
4,3,5
5,4,6
6,5,7
8,6,8
9,7,10
10,8,11
11,9,12
13,10,13
15,11,14
16,12,15
17,13,16
18,14,17
19,16,19
20,17,21
21,18,22
23,19,23
24,21,25
25,22,26
26,23,27
27,24,28
2,1,1
3,2,2
4,3,4
5,4,5
7,5,6
8,6,7
9,7,8
10,8,10
11,9,12
12,10,13
13,11,14
15,12,15
17,13,16
18,14,17
19,16,19
20,17,20
21,18,21
22,19,22
23,20,23
24,22,25
25,23,26
27,24,27
2,1,1
4,2,2
5,3,4
6,4,6
7,5,7
8,6,8
10,7,9
12,8,10
13,9,11
14,10,12
15,11,13
16,12,14
17,13,16
18,14,17
19,16,19
21,17,20
22,18,21
23,19,22
24,20,23
25,22,25
26,23,26
27,24,27
2,1,1
