2,1,1
7,2,2
12,3,3
15,4,4
20,5,5
25,6,6
27,8,8
4,1,1
6,2,2
10,3,3
11,4,4
12,5,5
13,6,6
16,7,7
22,8,8
23,10,10
26,11,11
27,13,13
4,1,1
6,2,2
7,3,3
12,4,4
16,5,5
17,6,6
22,7,7
24,9,9
25,10,10
27,12,12
5,1,1
9,2,2
13,3,3
16,4,4
18,5,5
19,6,6
24,7,7
25,8,8
27,10,10
2,1,1
3,2,2
4,3,3
9,4,4
10,5,5
12,6,6
15,7,7
19,8,8
21,10,10
23,11,11
25,12,12
26,13,13
27,15,15
1,1,1
6,2,2
7,3,3
8,4,4
9,5,6
12,6,7
13,7,8
18,8,9
22,9,10
24,11,12
26,12,13
27,14,15
1,1,1
2,2,2
8,3,3
13,4,4
14,5,5
19,6,6
21,7,7
26,8,8
27,10,10
1,1,2
3,2,3
8,3,4
11,4,5
12,5,6
13,6,7
18,7,8
23,8,9
24,10,11
25,11,12
26,12,13
27,14,15
4,1,2
6,2,3
11,3,4
12,4,5
13,5,6
14,6,7
15,7,8
18,8,9
22,9,10
25,10,11
27,12,13
