Context,GeneralAttribute,Label,Objects
press_haptics,height,tall,"yellow_water_bottle,green_water_bottle,lysol_container,red_water_bottle,tennis_container_split_peas,red_bull_pop_can,mac_and_cheese_box,dark_green_sports_bottle,wooden_knife_stand,starbucks_doubleshot_hazelnut,pale_yellow_cup,green_tall_cup,blue_salt_can,yellow_mustard_bottle"
press_haptics,height,short,"tin_can,yellow_squish_ball,dark_blue_sunfounder_box,scotch_tape_box,blue_squish_ball,excetrine_medicine_box,regular_creamcheese_box,tiny_metallic_can,stainless_steel_cannister,big_red_pop_can,wooden_cylindrical_container,silver_cappuccino_maker,wooden_pepper_grinder"
