2,2,3,83.3333,0.0
3,3,4,86.6667,0.0
4,4,9,100.0,1.0
5,5,10,86.6667,0.0
6,6,11,93.3333,0.0
7,7,15,96.6667,0.0
8,8,19,96.6667,0.0
9,9,20,100.0,1.0
10,10,21,100.0,1.0
12,12,24,83.3333,0.0
13,13,25,93.3333,0.0
14,14,26,83.3333,0.0
16,16,27,80.0,0.0
2,2,2,60.0,0.0
3,3,3,60.0,0.0
4,4,4,60.0,0.14285714285714282
5,5,5,60.0,0.0
6,6,6,63.3333,0.09836065573770475
7,7,11,60.0,0.0
8,8,13,60.0,0.0
9,9,14,60.0,0.0
10,10,15,60.0,0.0
11,11,20,60.0,0.0
12,12,21,60.0,0.0
13,13,23,56.6667,-0.06557377049180343
14,14,24,40.0,-0.36363636363636376
16,16,25,40.0,-0.36363636363636376
17,17,26,36.6667,-0.4179104477611941
19,19,27,40.0,-0.36363636363636376
2,2,3,83.3333,0.24242424242424251
3,3,4,83.3333,0.24242424242424251
4,4,8,76.6667,-0.0606060606060605
5,5,9,80.0,0.0
6,6,10,80.0,0.16666666666666682
7,7,11,76.6667,-0.0606060606060605
8,8,16,76.6667,0.22222222222222252
9,9,17,70.0,-0.15384615384615397
10,10,21,80.0,0.0
11,11,22,76.6667,-0.0606060606060605
12,12,23,80.0,0.0
14,14,24,80.0,0.0
15,15,25,73.3333,0.0697674418604648
16,16,26,76.6667,-0.0606060606060605
18,18,27,70.0,-0.12499999999999994
2,2,3,60.0,-0.11111111111111122
3,3,8,63.3333,-0.22222222222222213
4,4,9,60.0,-0.2500000000000003
5,5,10,66.6667,-0.04166666666666694
6,6,11,66.6667,-0.1904761904761905
7,7,16,56.6667,-0.27450980392156876
8,8,17,56.6667,-0.27450980392156876
9,9,21,73.3333,-0.11111111111111137
10,10,22,63.3333,-0.22222222222222213
11,11,23,60.0,-0.2500000000000003
12,12,24,63.3333,-0.22222222222222213
14,14,25,56.6667,-0.27450980392156876
15,15,26,60.0,-0.2500000000000003
17,17,27,50.0,-0.27118644067796616
2,2,6,80.0,0.0
3,3,7,76.6667,-0.02941176470588205
4,4,8,76.6667,0.16666666666666693
5,5,9,80.0,0.0
