2,1,2
3,2,3
5,3,4
8,4,5
9,5,6
10,6,8
11,7,10
12,8,11
14,9,12
15,10,13
16,11,14
18,12,15
20,13,16
22,15,18
23,16,19
24,17,20
25,18,21
27,20,23
1,1,1
5,2,2
6,3,3
8,4,6
9,5,7
10,6,8
11,7,9
13,8,10
16,9,11
17,10,12
18,11,14
20,12,15
21,14,17
22,15,18
23,16,19
24,17,20
25,18,21
26,20,23
27,21,24
2,1,1
6,2,2
7,3,3
8,4,5
10,5,7
11,6,8
13,7,9
15,8,10
16,9,11
17,10,12
18,11,13
20,12,14
22,13,15
23,15,17
24,16,18
25,17,19
26,19,21
27,20,22
1,1,1
5,2,2
6,3,4
7,4,5
10,5,6
11,6,7
12,7,9
13,8,11
14,9,12
15,10,13
16,11,14
17,12,15
19,13,16
20,15,18
21,16,19
22,17,20
23,18,21
26,19,22
27,21,24
1,1,1
2,2,2
4,3,3
7,4,4
8,5,5
9,6,8
10,7,9
11,8,10
12,9,11
13,10,12
14,11,13
18,12,14
19,13,15
21,14,16
23,16,18
24,17,19
25,18,20
26,19,21
27,21,23
2,1,1
4,2,2
5,3,3
6,4,6
8,5,7
9,6,8
10,7,11
12,8,12
13,9,13
14,10,14
18,11,15
20,12,16
21,14,18
22,15,19
23,16,20
24,17,21
25,19,23
26,20,24
27,22,26
4,1,1
5,2,4
6,3,5
7,4,6
8,5,7
9,6,8
11,7,9
13,8,10
14,9,11
15,10,12
16,11,13
18,12,14
20,13,15
22,15,17
23,16,18
24,17,19
25,18,20
26,20,22
27,21,23
2,1,1
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,8,9
10,9,11
11,10,12
14,11,13
18,12,14
20,13,15
21,15,17
22,16,18
23,17,19
24,18,20
25,19,21
26,20,22
27,22,24
2,1,1
3,2,2
5,3,4
7,4,5
10,5,6
11,6,7
12,7,9
13,8,10
15,9,11
16,10,12
20,11,13
22,12,14
23,14,16
24,15,17
25,16,18
26,17,19
27,18,20
